id,timestamp,type,prob,phase_amplitude,event_idx,prob_gamma,event_id,event_id_mapped
AV.DEER..BH,2021-01-02T02:17:51.880000,S,0.532,4.895853180642007e-06,3,0.009138005150558,20210102T000000_3,29
AV.DEER..BH,2021-01-02T02:46:44.700000,S,0.702,4.789833838003688e-06,4,0.0169894920083783,20210102T000000_4,30
AV.DEER..BH,2021-01-02T03:05:56.920000,S,0.354,4.590147000271827e-06,6,0.0169894920083783,20210102T000000_6,32
AV.DOL..BH,2021-01-02T00:28:02.360000,P,0.963,1.825494655349757e-05,1,0.0169894920083783,20210102T000000_1,28
AV.DOL..BH,2021-01-02T02:17:36.680000,P,0.903,5.89224055147497e-06,3,0.0169894920083783,20210102T000000_3,29
AV.DOL..BH,2021-01-02T02:46:28.780000,P,0.783,7.832079973013606e-06,4,0.0012838200239177,20210102T000000_4,30
AV.DOL..BH,2021-01-02T03:05:16.620000,P,0.43,7.698266927036457e-06,5,0.009138005150558,20210102T000000_5,31
AV.DOL..BH,2021-01-02T04:55:45.240000,P,0.64,5.92801643506391e-06,7,0.009138005150558,20210102T000000_7,33
AV.DOL..BH,2021-01-02T05:44:18.920000,P,0.852,6.813801064708969e-06,8,0.009138005150558,20210102T000000_8,34
AV.DOL..BH,2021-01-02T05:45:20.300000,P,0.318,6.121107617218513e-06,10,0.009138005150558,20210102T000000_10,36
AV.DOL..BH,2021-01-02T05:52:09.000000,P,0.858,6.324784408207052e-06,11,0.009138005150558,20210102T000000_11,37
AV.DOL..BH,2021-01-02T00:28:13.180000,S,0.752,1.825494655349757e-05,1,0.0012838200239177,20210102T000000_1,28
AV.DOL..BH,2021-01-02T02:17:47.860000,S,0.773,5.731661076424643e-06,3,0.0012838200239177,20210102T000000_3,29
AV.DOL..BH,2021-01-02T02:46:39.840000,S,0.599,7.832079973013606e-06,4,0.0033952157573678,20210102T000000_4,30
AV.DOL..BH,2021-01-02T03:05:28.200000,S,0.319,5.439231699710945e-06,5,0.0169894920083783,20210102T000000_5,31
AV.DOL..BH,2021-01-02T03:05:48.280000,S,0.361,8.842117495078128e-06,6,0.0012838200239177,20210102T000000_6,32
AV.DOL..BH,2021-01-02T05:44:37.440000,S,0.567,9.62435206020018e-06,9,0.009138005150558,20210102T000000_9,35
AV.DOL..BH,2021-01-02T05:52:27.720000,S,0.47,6.7703281274589244e-06,12,0.009138005150558,20210102T000000_12,38
AV.DT1..BH,2021-01-02T00:28:03.580000,P,0.891,4.558684850053396e-06,2,0.0169894920083783,20210102T000000_2,27
AV.DT1..BH,2021-01-02T02:17:39.500000,P,0.765,4.705545052274829e-06,3,0.0033952157573678,20210102T000000_3,29
AV.DT1..BH,2021-01-02T05:44:21.740000,P,0.801,3.8757043512305245e-06,8,0.0169894920083783,20210102T000000_8,34
AV.DT1..BH,2021-01-02T00:28:15.540000,S,0.897,7.907779945526272e-06,1,0.0033952157573678,20210102T000000_1,28
