time,magnitude,longitude,latitude,depth(m),sigma_time,sigma_amp,cov_time_amp,gamma_score,event_index,event_id
2021-01-07T08:46:36.580,1.856,-161.492,55.161,34121.759,0.429,0.297,-0.068,6.229,2,20210107T080000_2
2021-01-07T11:45:22.092,1.298,-161.299,55.209,26849.419,0.399,0.532,0.103,8.0,3,20210107T080000_3
2021-01-07T11:46:39.906,0.655,-161.908,55.237,0.0,0.187,0.34,-0.01,5.0,4,20210107T080000_4
2021-01-07T13:28:17.676,1.701,-161.008,54.923,52668.544,0.14,0.352,0.013,3.91,6,20210107T080000_6
2021-01-07T13:28:23.164,-0.146,-161.744,55.335,0.0,0.084,0.442,0.02,4.0,5,20210107T080000_5
2021-01-07T15:51:43.101,2.177,-161.16,54.903,50326.229,0.32,0.181,0.007,11.0,7,20210107T080000_7
2021-01-07T15:51:51.384,2.49,-161.087,54.902,50895.032,0.711,0.198,0.047,11.0,8,20210107T080000_8
2021-01-07T18:20:38.653,1.761,-161.266,54.903,33206.841,0.276,0.295,0.002,8.0,1,20210107T160000_1
2021-01-07T18:20:53.129,1.583,-161.335,54.904,3593.192,0.452,0.316,0.078,4.623,2,20210107T160000_2
2021-01-07T18:27:43.188,0.88,-161.877,54.973,0.0,0.811,0.337,0.184,5.0,3,20210107T160000_3
2021-01-07T18:28:09.691,-0.259,-161.784,55.349,2867.027,0.401,0.509,0.042,5.0,4,20210107T160000_4
2021-01-07T19:18:11.706,1.43,-161.045,54.902,8312.763,0.113,0.36,0.001,4.0,5,20210107T160000_5
2021-01-07T19:18:27.784,1.182,-161.762,54.905,32304.906,0.28,0.302,-0.016,4.0,6,20210107T160000_6
2021-01-07T19:34:36.248,2.052,-161.285,54.903,17651.959,0.523,0.192,0.02,9.005,7,20210107T160000_7
2021-01-07T19:35:07.730,0.843,-161.689,55.36,2761.271,0.008,0.423,0.001,4.299,8,20210107T160000_8
2021-01-07T19:36:15.386,0.751,-161.397,55.339,21317.824,0.0,0.23,0.0,4.0,9,20210107T160000_9
2021-01-07T20:41:49.154,1.938,-161.007,54.947,53538.644,0.188,0.312,-0.009,7.0,10,20210107T160000_10
2021-01-07T20:41:55.318,2.074,-161.008,54.911,61000.0,0.246,0.28,-0.018,8.0,11,20210107T160000_11
2021-01-07T22:11:20.336,1.05,-161.571,55.097,0.0,0.484,0.308,-0.042,8.582,12,20210107T160000_12
2021-01-07T23:38:38.827,2.69,-161.664,54.905,61000.0,0.848,0.285,-0.127,21.0,13,20210107T160000_13
2021-01-08T00:22:34.554,2.082,-161.008,54.902,59869.569,0.491,0.276,-0.01,9.0,2,20210108T000000_2
2021-01-08T00:22:39.755,0.652,-161.844,55.224,8814.839,0.48,0.357,-0.009,8.0,1,20210108T000000_1
2021-01-08T00:40:54.498,2.079,-161.713,54.905,0.0,0.359,0.079,0.012,4.104,3,20210108T000000_3
